transaction_id,items,date
162,"apple, rice, chicken, eggs",2024-11-14
163,"milk, apple, eggs, orange, tomato",2025-02-05
164,"salt, yogurt",2025-01-07
165,"apple, potato, banana",2025-07-21
166,"banana, potato",2024-09-13
167,"sugar, banana, yogurt, tomato",2025-01-09
168,"salt, yogurt, chicken, bread",2025-09-21
169,"banana, tomato, chicken, salt, milk, sugar",2025-02-26
170,"sugar, onion, milk, banana",2024-05-12
171,"sugar, beef, oil, potato, pasta, orange",2025-09-15
172,"rice, potato, butter, sugar, tomato",2024-01-20
173,"beef, cereal",2025-10-19
174,"sugar, eggs, cereal, rice, oil",2025-02-09
175,"yogurt, apple, bread, beef, chicken, onion",2024-10-17
176,"tomato, chicken, beef, pasta",2025-01-09
177,"oil, eggs",2025-09-27
178,"potato, cheese, tomato, rice, butter",2024-11-18
179,"eggs, banana",2025-10-02
180,"sugar, apple",2025-06-10
181,"yogurt, milk, orange, salt, beef",2024-04-25
182,"butter, cereal, bread, orange",2025-11-30
183,"milk, orange, banana",2024-08-23
184,"oil, orange, beef, eggs",2025-12-04
185,"cheese, yogurt, salt, sugar, beef, rice",2024-06-28
186,"bread, potato, milk",2025-01-25
187,"onion, milk, rice, potato",2025-11-27
188,"bread, oil, apple, yogurt",2025-07-19
189,"eggs, bread, oil, yogurt",2024-01-06
190,"potato, cheese, tomato, oil, banana",2024-08-01
191,"milk, rice, beef, apple",2025-04-24
192,"rice, potato",2024-10-16
193,"chicken, butter",2025-03-10
194,"orange, banana, eggs, yogurt",2025-08-28
195,"salt, banana, cheese, milk, oil",2025-05-16
196,"bread, onion, apple, oil, tomato, butter",2024-04-27
197,"cheese, milk, sugar, cereal, oil",2024-02-04
198,"pasta, banana",2024-06-28
199,"potato, onion",2025-08-26
200,"yogurt, apple, banana, cereal, eggs, pasta",2024-06-10
201,"sugar, chicken, pasta, onion, tomato, apple",2025-05-24
202,"apple, beef",2024-05-18
203,"oil, potato",2025-12-27
204,"cheese, sugar, tomato, orange, pasta, oil",2025-10-08
205,"cereal, sugar, yogurt",2025-08-11
206,"orange, eggs, bread, cereal, salt",2025-02-21
207,"onion, chicken, bread, apple, rice",2024-06-09
208,"cereal, bread",2024-05-26
209,"milk, orange",2025-04-03
210,"potato, yogurt, eggs",2025-12-08
211,"apple, chicken, onion",2025-02-25
212,"banana, orange, eggs, rice, sugar",2024-02-10
213,"orange, rice",2024-09-02
214,"tomato, cereal",2025-10-10
215,"orange, onion, beef, cereal",2024-08-11
216,"oil, butter, beef, yogurt, eggs",2024-12-28
217,"sugar, tomato, milk, beef",2024-04-26
218,"onion, salt, eggs",2025-06-13
219,"oil, rice, butter, milk",2024-04-19
220,"oil, rice, tomato, butter, eggs, potato",2025-03-17
221,"eggs, tomato, orange, pasta",2025-11-17
222,"bread, beef, yogurt, salt, eggs, milk",2025-12-07
223,"butter, rice, pasta, salt, chicken",2024-09-03
224,"banana, tomato, rice, potato, apple, pasta",2025-06-24
225,"pasta, onion, tomato, orange",2025-03-22
226,"cheese, oil, eggs, onion, sugar, rice",2025-10-09
227,"apple, rice, cereal, cheese, beef, eggs",2025-03-18
228,"cereal, salt, tomato, milk, butter, chicken",2025-09-02
229,"beef, eggs, chicken, orange",2024-09-29
230,"eggs, sugar, potato",2025-04-18
231,"pasta, sugar, cereal, butter, cheese, bread",2025-02-16
232,"beef, eggs, sugar, cereal, rice, chicken",2025-06-11
233,"orange, yogurt",2024-09-20
234,"tomato, cheese, banana, butter",2024-02-04
235,"tomato, chicken, butter",2024-06-27
236,"salt, eggs, rice",2025-01-12
237,"yogurt, beef, apple, salt, chicken, onion",2024-01-25
238,"butter, banana, tomato, pasta, oil, cheese",2024-10-08
239,"beef, eggs, bread, tomato, banana, oil",2025-06-25
240,"beef, butter, cheese, eggs, yogurt",2025-04-25
241,"chicken, cheese, sugar",2024-02-06
242,"rice, sugar",2025-03-23
243,"eggs, banana, milk, potato",2025-03-03
244,"pasta, banana, salt, orange, beef",2025-06-27
245,"cereal, tomato, yogurt, beef, cheese",2025-07-11
246,"bread, milk, sugar, salt",2025-07-21
247,"eggs, oil",2024-06-05
248,"tomato, potato, bread",2025-05-06
249,"tomato, banana, oil, cheese, pasta, chicken",2024-12-14
250,"chicken, banana, potato, cereal, eggs, rice",2024-01-06
251,"tomato, pasta",2024-11-19
252,"salt, pasta",2025-12-29
253,"bread, chicken, oil, eggs, orange, pasta",2024-08-09
254,"sugar, salt",2025-08-11
255,"butter, beef, potato, salt, tomato",2025-02-05
256,"potato, beef, apple, bread, orange",2025-07-29
257,"tomato, oil, orange, cheese, butter, cereal",2025-05-08
258,"rice, sugar, apple, eggs",2025-08-12
259,"milk, potato, cereal, onion, chicken",2025-05-18
260,"orange, cheese",2025-10-31
261,"butter, sugar, beef, orange",2024-02-28
262,"pasta, milk, chicken, salt, cereal, tomato",2024-04-24
263,"potato, bread, oil, chicken",2025-09-24
264,"banana, apple, yogurt, chicken, milk",2024-06-03
265,"potato, oil, butter, cereal",2024-01-25
266,"rice, salt, chicken, onion, sugar, apple",2025-09-26
267,"oil, onion, beef, sugar",2025-03-14
268,"butter, onion, cereal, cheese, tomato",2024-05-01
269,"yogurt, rice, banana, salt, eggs, pasta",2025-05-25
270,"rice, bread, yogurt, banana, cereal",2024-02-22
271,"eggs, onion, pasta, orange, tomato, yogurt",2025-11-02
272,"beef, banana",2025-10-09
273,"sugar, bread, cereal",2025-03-21
274,"butter, cheese, yogurt, beef, orange, salt",2024-03-07
275,"chicken, beef, cereal",2024-11-09
276,"milk, tomato, cereal",2024-12-07
277,"banana, sugar, potato, pasta",2025-01-18
278,"rice, eggs, beef",2024-10-27
279,"chicken, rice, beef, pasta",2025-05-13
280,"yogurt, butter, banana, rice, cheese",2024-12-31
281,"apple, pasta, milk, oil",2024-03-14
282,"butter, banana, cereal",2025-10-20
283,"eggs, butter, potato, orange",2025-02-18
284,"bread, beef, chicken",2024-04-10
285,"beef, tomato",2025-08-09
286,"orange, beef, apple",2025-02-06
287,"salt, sugar, butter",2024-09-19
288,"chicken, cheese, butter",2024-01-06
289,"cereal, rice",2025-03-03
290,"sugar, rice",2024-11-02
291,"oil, onion, cereal, chicken",2024-07-31
292,"cereal, orange, sugar, chicken, onion, apple",2024-05-03
293,"yogurt, cheese, bread, cereal, tomato",2025-10-26
294,"banana, salt, rice, milk, onion, yogurt",2024-12-25
295,"tomato, rice, oil",2025-01-25
296,"cereal, apple, pasta",2025-11-17
297,"oil, potato",2025-07-11
298,"chicken, pasta, apple, cheese, beef",2025-10-25
299,"pasta, salt, cheese, bread, rice",2025-06-22
300,"bread, milk, sugar",2024-08-11
301,"pasta, bread",2025-02-13
302,"beef, eggs",2024-11-22
303,"butter, potato, bread, oil, salt, rice",2025-10-18
304,"cereal, cheese",2025-07-15
305,"oil, beef, bread, potato, milk",2025-01-18
306,"yogurt, sugar, eggs",2024-02-11
307,"butter, cereal, yogurt, onion, bread, tomato",2025-12-28
308,"tomato, orange, onion, salt, apple, chicken",2024-06-23
309,"oil, rice, orange, cheese, tomato",2025-11-07
310,"beef, oil, sugar, banana, pasta",2024-05-17
311,"rice, chicken, tomato, milk, banana",2025-07-07
312,"sugar, salt, banana",2025-04-18
313,"orange, butter, beef, apple, salt",2024-10-27
314,"tomato, potato, cheese, bread, beef, rice",2025-02-11
315,"eggs, tomato, pasta, oil",2024-12-30
316,"cheese, eggs, sugar",2024-11-09
317,"tomato, yogurt, pasta, rice, bread",2025-04-16
318,"chicken, sugar",2024-09-25
319,"orange, tomato, cheese, potato, salt",2025-05-26
320,"banana, bread, sugar, onion, oil",2024-11-16
321,"tomato, oil, butter, cheese, banana",2025-03-03
322,"salt, apple, rice, potato, cheese",2025-09-21
323,"cereal, banana, pasta",2024-10-01
324,"yogurt, onion, butter, orange, pasta",2024-01-10
325,"cereal, potato, chicken, tomato, cheese",2024-05-09
326,"milk, apple, beef, yogurt, butter, cereal",2024-06-08
327,"beef, pasta, banana, sugar, oil, chicken",2025-03-17
328,"cereal, pasta, butter, apple, beef",2025-02-21
329,"butter, sugar, beef, rice, cheese, tomato",2025-03-27
330,"yogurt, orange, milk, rice, sugar, chicken",2024-11-20
331,"yogurt, tomato, butter, eggs, orange, banana",2024-03-24
332,"yogurt, apple, potato",2025-05-15
333,"cheese, orange, cereal",2025-01-31
334,"potato, bread",2024-11-19
335,"oil, banana, tomato",2024-09-30
336,"yogurt, onion, rice, salt",2025-11-12
337,"tomato, milk, butter",2024-03-01
338,"apple, pasta, eggs, banana, potato",2024-07-31
339,"cheese, pasta, cereal",2024-12-26
340,"eggs, pasta, yogurt, banana, cheese, potato",2025-11-04
341,"banana, oil, potato, cheese, butter",2024-06-07
342,"tomato, cereal, beef, banana, milk",2024-08-21
343,"orange, salt, apple, beef",2025-09-14
344,"beef, potato",2024-01-09
345,"oil, sugar, orange, banana, yogurt, rice",2025-01-04
346,"salt, rice",2024-11-01
347,"potato, salt, sugar, rice",2024-05-27
348,"tomato, yogurt, potato, butter",2024-10-31
349,"butter, banana, pasta, beef, orange",2024-02-02
350,"banana, pasta, milk, salt, cheese",2025-05-13
351,"orange, salt, milk, cereal",2025-01-04
352,"beef, bread, oil",2024-12-01
353,"milk, salt",2024-12-06
354,"banana, apple",2025-02-08
355,"tomato, orange, banana, pasta, salt",2025-01-12
356,"apple, orange, cheese",2024-06-30
357,"milk, oil, bread",2025-05-18
358,"oil, potato",2024-09-18
359,"chicken, milk, pasta",2024-05-03
360,"onion, milk, orange, sugar, cereal, bread",2025-08-24
361,"banana, onion, potato",2025-04-30
362,"banana, sugar, cereal, yogurt, apple, oil",2024-03-17
363,"chicken, milk, potato, rice, apple",2025-03-13
364,"yogurt, potato, beef, rice, cereal, chicken",2024-03-26
365,"apple, butter, onion, bread, orange, oil",2024-01-29
366,"onion, potato, tomato",2024-08-11
367,"rice, cheese, milk, bread",2025-04-20
368,"salt, orange, butter",2025-01-31
369,"banana, salt, yogurt",2024-04-06
370,"bread, butter, yogurt",2025-12-28
371,"chicken, sugar, rice, pasta, potato, beef",2025-05-11
372,"tomato, bread",2024-03-03
373,"orange, pasta, yogurt, eggs, chicken",2025-04-18
374,"onion, salt, cereal, chicken, butter, pasta",2024-03-15
375,"oil, cheese, butter, bread, tomato",2025-08-31
376,"rice, orange, oil",2024-04-22
377,"bread, rice",2025-09-15
378,"tomato, beef, milk, oil, chicken, banana",2025-06-11
379,"salt, milk, oil, apple",2024-09-02
380,"cheese, salt, yogurt, onion",2025-01-15
381,"milk, bread",2025-05-08
382,"cereal, yogurt",2025-12-18
383,"yogurt, onion, banana, oil, eggs, apple",2024-04-11
384,"potato, apple, milk, orange",2024-01-20
385,"sugar, bread, pasta",2024-04-05
386,"rice, yogurt, tomato, bread",2025-08-25
387,"sugar, tomato, onion, salt, apple",2025-06-14
388,"yogurt, milk, oil, tomato, pasta",2024-12-22
389,"bread, orange",2025-07-24
390,"eggs, beef",2024-05-15
391,"rice, potato, apple, cheese, milk, beef",2024-06-28
392,"yogurt, beef, salt, milk",2024-04-09
393,"onion, eggs, yogurt, cheese, sugar, oil",2024-11-25
394,"orange, sugar, milk, banana, rice",2025-11-17
395,"orange, beef, pasta, tomato, apple, rice",2024-03-05
396,"yogurt, eggs, onion",2025-05-03
397,"milk, salt, eggs",2025-07-23
398,"potato, apple",2025-05-13
399,"pasta, cheese",2025-09-14
400,"sugar, salt, pasta",2024-05-17
401,"banana, onion, chicken, potato",2025-04-22
402,"beef, apple, orange, sugar",2024-04-16
403,"oil, apple, beef, banana, chicken, orange",2024-05-12
404,"orange, pasta, yogurt, potato, milk, rice",2025-08-22
405,"salt, tomato",2024-05-17
406,"butter, tomato, potato, yogurt, sugar, orange",2024-09-22
407,"beef, yogurt, butter, chicken, onion",2025-01-20
408,"cheese, beef",2024-12-26
409,"yogurt, eggs",2025-03-21
410,"onion, milk",2025-07-04
411,"beef, sugar, bread",2025-09-23
412,"cheese, butter",2025-05-08
413,"onion, eggs, bread, orange",2025-05-11
414,"banana, salt, oil",2024-12-11
415,"salt, rice, beef, milk",2025-06-08
416,"milk, salt, onion, cheese, chicken",2024-10-18
417,"banana, cereal, milk",2024-10-17
418,"orange, sugar, cheese, apple, beef",2025-01-31
419,"cereal, beef, bread, oil, yogurt",2024-05-26
420,"chicken, oil, apple, yogurt, cereal, beef",2025-05-05
421,"banana, cereal, beef",2024-07-02
422,"oil, apple",2024-05-10
423,"butter, milk, chicken, cheese, onion",2024-05-07
424,"onion, orange, eggs, cereal, cheese",2024-04-21
425,"oil, bread, cereal",2024-09-05
426,"eggs, chicken, potato",2024-10-24
427,"cheese, eggs, beef, salt, milk",2024-08-29
428,"tomato, oil, milk, yogurt, apple, beef",2025-12-28
429,"eggs, onion, pasta",2025-09-09
430,"eggs, sugar, orange",2025-02-17
431,"eggs, banana, butter",2025-02-19
432,"apple, bread, sugar, butter, chicken",2025-01-19
433,"potato, eggs, butter, tomato, salt",2024-05-24
434,"onion, beef, apple",2025-07-03
435,"milk, rice, banana",2025-11-12
436,"onion, tomato, orange",2024-06-29
437,"orange, onion",2024-03-15
438,"butter, orange, chicken, potato",2024-02-08
439,"pasta, yogurt",2025-12-22
440,"cheese, tomato, potato",2024-01-30
441,"eggs, bread",2024-02-02
442,"salt, potato, yogurt, beef",2024-11-06
443,"onion, chicken, orange, apple, tomato",2024-01-28
444,"yogurt, bread, potato, oil",2025-08-19
445,"potato, rice",2024-04-03
446,"cereal, cheese, sugar, yogurt",2025-09-02
447,"milk, butter",2024-04-10
448,"bread, cereal",2025-07-05
449,"cereal, pasta, cheese, banana, orange",2024-06-05
450,"onion, eggs, orange, bread",2024-11-10
451,"salt, oil, pasta, chicken, orange, tomato",2025-04-28
452,"cereal, potato, tomato, yogurt, sugar",2024-11-13
453,"oil, rice, cheese, onion, pasta, orange",2025-11-05
454,"cheese, tomato, butter, cereal",2024-07-15
455,"apple, yogurt, eggs, orange",2025-10-01
456,"potato, cereal, orange, tomato",2025-08-25
457,"pasta, chicken, eggs, banana, yogurt",2025-08-21
458,"apple, bread, oil",2025-12-10
459,"sugar, rice, onion, butter, beef",2024-04-27
460,"tomato, eggs, bread, apple, pasta, oil",2024-04-11
461,"sugar, milk, bread",2025-08-04
462,"cheese, chicken, pasta, oil",2024-09-01
463,"cheese, chicken, tomato, cereal",2024-12-18
464,"orange, apple, oil",2024-11-30
465,"yogurt, cereal, tomato",2024-12-03
466,"yogurt, orange, oil",2024-06-12
467,"bread, chicken, oil, orange",2024-11-23
468,"eggs, apple, rice, oil",2024-03-18
469,"apple, bread, cheese",2024-05-27
470,"oil, beef",2024-07-07
471,"cheese, orange, bread, salt",2024-10-23
472,"cheese, chicken, salt, banana",2025-07-28
473,"cheese, tomato, butter, apple, pasta, salt",2025-04-14
474,"tomato, apple, oil, butter, cereal",2024-03-09
475,"oil, butter, pasta, onion, cereal, bread",2024-11-07
476,"apple, cheese, cereal, salt",2024-03-07
477,"rice, banana, yogurt, sugar, apple",2024-10-04
478,"orange, beef",2024-11-24
479,"beef, milk, sugar, orange, onion",2024-11-04
480,"rice, beef, tomato",2025-03-12
481,"tomato, milk, oil",2024-10-17
482,"chicken, milk",2024-02-18
483,"chicken, eggs, orange, cheese",2025-11-25
484,"tomato, orange, oil, beef",2024-06-06
485,"oil, cheese, yogurt, bread",2025-04-10
486,"potato, beef, orange, chicken",2025-03-18
487,"bread, butter",2024-12-25
488,"oil, apple, tomato, pasta",2024-01-23
489,"apple, banana, sugar, oil, potato",2024-02-25
490,"cereal, beef",2024-02-09
491,"chicken, salt, tomato, eggs, pasta, bread",2024-09-15
492,"butter, eggs, beef, sugar, pasta, banana",2025-03-11
493,"sugar, orange, bread",2025-07-23
494,"yogurt, cereal, beef, chicken, rice",2025-08-23
495,"sugar, cheese, onion, rice, tomato",2025-07-05
496,"apple, tomato, pasta, bread, chicken, butter",2024-08-14
497,"beef, chicken, milk",2025-02-12
498,"yogurt, butter, cheese",2025-01-25
499,"eggs, onion, orange",2024-12-22
500,"cheese, rice",2025-12-21
501,"oil, banana, butter, potato",2024-01-16
502,"banana, oil, chicken, salt, pasta, yogurt",2025-08-15
503,"cereal, cheese",2025-03-28
504,"potato, cereal, salt, rice",2025-10-30
505,"eggs, chicken, oil",2024-05-07
506,"sugar, oil, beef, chicken",2024-04-11
507,"eggs, milk, apple, rice, potato",2024-11-23
508,"cereal, butter, eggs, milk, chicken, pasta",2024-06-25
509,"potato, chicken",2025-04-12
510,"orange, cheese",2025-04-23
511,"pasta, milk, sugar, salt, eggs",2024-02-19
512,"potato, sugar, yogurt, rice",2025-11-18
513,"potato, oil, beef",2025-02-04
514,"sugar, apple, butter, potato, yogurt",2024-04-25
515,"butter, yogurt",2024-09-13
516,"butter, banana, chicken, potato, bread, eggs",2024-12-13
517,"potato, banana, rice, pasta, yogurt",2024-12-20
518,"potato, salt",2024-02-19
519,"chicken, milk, salt, onion, yogurt, cheese",2025-10-27
520,"beef, oil, pasta, butter, yogurt",2025-03-13
521,"rice, sugar",2025-10-26
522,"yogurt, salt, beef, chicken",2026-01-01
523,"apple, potato",2024-12-04
524,"orange, cereal, pasta, tomato, onion, cheese",2025-01-07
525,"eggs, cheese, salt",2025-06-21
526,"butter, banana, beef, apple, chicken, tomato",2024-02-17
527,"salt, tomato",2025-03-12
528,"beef, salt, sugar",2024-09-06
529,"apple, tomato",2025-06-16
530,"onion, beef, cheese, potato, tomato, yogurt",2025-09-08
531,"onion, potato",2025-03-13
532,"beef, chicken, yogurt",2024-10-26
533,"cheese, orange, eggs, bread",2024-04-03
534,"apple, orange, eggs, chicken",2025-09-23
535,"butter, bread, apple",2024-04-14
536,"tomato, bread",2025-04-12
537,"orange, beef",2025-11-08
538,"cereal, sugar, chicken, oil",2024-02-19
539,"cheese, sugar, orange, potato",2025-01-05
540,"butter, milk, yogurt",2024-06-18
541,"sugar, eggs, oil, banana, yogurt",2024-10-05
542,"cereal, pasta, beef",2025-10-16
543,"tomato, sugar, rice, oil",2025-05-30
544,"banana, orange, milk",2025-12-29
545,"potato, sugar, rice, pasta, yogurt",2024-09-28
546,"chicken, milk, cheese",2024-12-04
547,"beef, yogurt, chicken, tomato, butter",2025-02-22
548,"beef, orange, apple, rice",2024-12-20
549,"sugar, rice, bread",2024-12-28
550,"potato, butter, cereal",2024-01-06
551,"cereal, chicken, sugar",2024-04-16
552,"onion, pasta, apple, salt",2024-11-26
553,"salt, tomato",2024-10-23
554,"milk, beef",2024-10-02
555,"chicken, oil",2025-02-06
556,"milk, beef, cereal, sugar, cheese, yogurt",2024-01-28
557,"cereal, rice, orange, eggs, butter",2025-05-22
558,"butter, onion, pasta",2024-07-20
559,"banana, orange, chicken, cereal, onion, cheese",2024-05-30
560,"butter, chicken, cereal",2025-11-03
561,"bread, rice, oil",2025-11-28
562,"pasta, tomato",2024-07-23
563,"sugar, banana, rice, cereal, orange, bread",2025-05-15
564,"cereal, butter, bread, pasta, yogurt",2025-04-13
565,"orange, cheese, apple, cereal, potato",2024-02-17
566,"yogurt, salt, potato",2025-05-25
567,"bread, eggs, salt, potato, milk, chicken",2025-08-06
568,"beef, potato, onion",2024-12-09
569,"tomato, sugar, salt, yogurt, rice",2024-11-30
570,"milk, yogurt, sugar",2025-07-20
571,"potato, orange, pasta",2025-03-08
572,"cereal, onion, bread, pasta",2024-01-09
573,"cheese, orange, eggs, cereal",2025-07-09
574,"orange, sugar, banana, salt, rice",2025-03-04
575,"onion, apple",2025-04-14
576,"cereal, milk, yogurt, oil, salt",2024-07-15
577,"potato, rice, chicken",2025-05-07
578,"eggs, milk",2025-02-13
579,"bread, rice",2025-03-27
580,"banana, bread, onion, salt, yogurt, pasta",2025-10-01
581,"beef, banana, pasta, milk",2024-08-23
582,"eggs, chicken, cheese, banana, orange",2024-06-11
583,"cheese, potato, butter, apple, milk, orange",2025-09-29
584,"milk, orange, chicken, onion, rice",2025-11-28
585,"butter, beef, banana, orange, bread, pasta",2024-12-19
586,"potato, banana, orange, pasta",2025-12-21
